epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,12507.4,0.74114,0.39915,0.92893,0.95784,0.95042,0.97044,0.80645,0.69506,0.37037,0.94026,0.002971,0.002971,0.002971
144,12594.4,0.73781,0.39895,0.9283,0.95773,0.95099,0.97056,0.80783,0.69343,0.36942,0.93965,0.0029215,0.0029215,0.0029215
145,12680.1,0.73777,0.39881,0.92689,0.95795,0.95079,0.97067,0.80822,0.692,0.36852,0.93908,0.002872,0.002872,0.002872
146,12765.5,0.73579,0.39734,0.92635,0.95793,0.95172,0.97099,0.80912,0.69042,0.36775,0.93848,0.0028225,0.0028225,0.0028225
147,12851.5,0.73314,0.39618,0.92612,0.95846,0.95094,0.97097,0.80958,0.68887,0.36716,0.93786,0.002773,0.002773,0.002773
148,12940,0.73213,0.39634,0.92771,0.95854,0.95117,0.97129,0.80982,0.68761,0.36669,0.93737,0.0027235,0.0027235,0.0027235
149,13028.5,0.73148,0.39515,0.92501,0.95892,0.95175,0.97145,0.81059,0.68625,0.36552,0.93689,0.002674,0.002674,0.002674
150,13116,0.72359,0.3913,0.92428,0.95869,0.95307,0.97133,0.8111,0.68514,0.36502,0.93637,0.0026245,0.0026245,0.0026245
151,13203.3,0.72168,0.39204,0.92368,0.9597,0.95184,0.97181,0.8116,0.68387,0.36446,0.93577,0.002575,0.002575,0.002575
152,13290.7,0.72103,0.39076,0.92256,0.95922,0.9534,0.97181,0.81178,0.68247,0.36348,0.93529,0.0025255,0.0025255,0.0025255
153,13379.8,0.71852,0.389,0.9209,0.95906,0.95388,0.97182,0.81225,0.68107,0.36276,0.9348,0.002476,0.002476,0.002476
154,13468.4,0.71745,0.38919,0.92129,0.95911,0.95353,0.97191,0.81297,0.67973,0.36183,0.93421,0.0024265,0.0024265,0.0024265
155,13555.8,0.71168,0.38701,0.92019,0.9593,0.95366,0.97208,0.81359,0.67842,0.36105,0.93372,0.002377,0.002377,0.002377
156,13643.3,0.71002,0.38536,0.91969,0.95975,0.95361,0.97217,0.81384,0.67751,0.36073,0.9333,0.0023275,0.0023275,0.0023275
157,13730.9,0.70928,0.3842,0.91761,0.95972,0.95377,0.97225,0.81404,0.67615,0.35955,0.93283,0.002278,0.002278,0.002278
158,13818.4,0.70508,0.38229,0.91729,0.96014,0.95395,0.97227,0.81463,0.67518,0.35899,0.93231,0.0022285,0.0022285,0.0022285
159,13905.8,0.70146,0.38105,0.91554,0.96035,0.95412,0.97241,0.81457,0.67414,0.35847,0.93179,0.002179,0.002179,0.002179
160,13993.1,0.69972,0.3801,0.91547,0.96089,0.95426,0.97239,0.81528,0.67281,0.35767,0.93133,0.0021295,0.0021295,0.0021295
161,14080.6,0.6958,0.37849,0.91392,0.96097,0.95407,0.97262,0.81573,0.67149,0.35678,0.93078,0.00208,0.00208,0.00208
162,14169,0.69222,0.3772,0.91357,0.96091,0.95437,0.97271,0.81615,0.67026,0.35632,0.93026,0.0020305,0.0020305,0.0020305
163,14256.5,0.6955,0.37844,0.915,0.96134,0.95437,0.97253,0.8166,0.66882,0.35565,0.92974,0.001981,0.001981,0.001981
164,14343.8,0.68552,0.37391,0.91046,0.96156,0.95466,0.97267,0.81669,0.66757,0.35487,0.92922,0.0019315,0.0019315,0.0019315
165,14431.2,0.68551,0.37464,0.91167,0.9621,0.9548,0.9729,0.81729,0.66636,0.35422,0.92875,0.001882,0.001882,0.001882
166,14518.7,0.6837,0.37309,0.91043,0.96151,0.955,0.97281,0.81778,0.66528,0.35352,0.9283,0.0018325,0.0018325,0.0018325
167,14606.1,0.6802,0.37101,0.90974,0.96199,0.9549,0.97274,0.81827,0.66408,0.35282,0.92783,0.001783,0.001783,0.001783
168,14693.4,0.67769,0.37149,0.90932,0.96181,0.95514,0.97287,0.81846,0.66298,0.35231,0.9273,0.0017335,0.0017335,0.0017335
169,14781,0.67248,0.36759,0.90746,0.96202,0.95522,0.97293,0.8188,0.66168,0.3514,0.92682,0.001684,0.001684,0.001684
170,14868.4,0.67291,0.3678,0.90698,0.96196,0.9554,0.97297,0.81929,0.6604,0.35064,0.92627,0.0016345,0.0016345,0.0016345
171,14955.8,0.6693,0.36568,0.90619,0.96225,0.95556,0.97299,0.81962,0.65932,0.35012,0.92578,0.001585,0.001585,0.001585
172,15043.4,0.66641,0.36469,0.90499,0.96239,0.95549,0.97307,0.82021,0.6581,0.34941,0.9253,0.0015355,0.0015355,0.0015355
